#energy	xsecv3 (m=0.5 GeV)	xsecv4 (m=0.001GeV)	xsecv5 (m=0.01GeV)	xsecv6 (m=0.05GeV)	nPhoton
9.101	       4006.5	       37036.0	       36817.0	       27302.0	90364809.7857
9.201	       4090.6	       37047.0	       36815.0	       27386.0	67056754.8863
9.301	       4137.3	       37041.0	       36812.0	       27237.0	47700078.3453
9.401	       4142.2	       37023.0	       36856.0	       27329.0	32262844.0425
9.501	       4221.5	       37045.0	       36799.0	       27461.0	20541047.7243
9.601	       4220.7	       37052.0	       36768.0	       27376.0	12156175.7949
9.701	       4279.7	       37042.0	       36849.0	       27521.0	6580209.4415
9.801	       4309.9	       37041.0	       36844.0	       27558.0	3190537.95508
9.901	       4349.0	       37047.0	       37167.0	       27572.0	1347647.80709
10.001	       4394.0	       37046.0	       37206.0	       27620.0	477279.453287
10.101	       4432.9	       37042.0	       37117.0	       27614.0	134210.658762
10.201	       4580.0	       37046.0	       36975.0	       27695.0	27619.2655217
10.301	       4609.8	       37167.0	       36801.0	       27755.0	3655.03745996
10.401	       4653.6	       37071.0	       36879.0	       27865.0	250.621978022
10.501	       4557.1	       37033.0	       36813.0	       27874.0	6.03577678314
